Size,US13,US14
50,35.123456,76.54321
100,89.654321,89.012345
150,54.891234,157.654321
200,106.987654,296.54321
250,134.56789,487.654321
300,366.54321,770.123456
350,307.654321,1253.456789
400,590.123456,1758.765432
450,503.210987,2633.456789
500,575.432109,3169.876543
550,715.678901,4184.56789
600,1077.654321,5185.432109
650,959.876543,6530.123456
700,1286.54321,8266.54321
750,1030.123456,9632.109876
800,1484.56789,11929.012345
850,2366.789012,13827.654321
900,2226.54321,16647.654321
950,2754.321098,20954.321098
1000,1959.876543,20971.098765
1050,2372.109876,26935.432109
1100,2597.654321,33941.098765
1150,3182.109876,36930.123456
1200,3739.876543,44406.54321
1250,3467.654321,50241.098765
1300,4998.765432,59415.432109
1350,4680.123456,73597.654321
1400,5106.54321,74164.56789
1450,5491.098765,133098.765432
1500,5287.654321,226314.56789
